BIS Statistics Explorer
"Table D10.3: OTC, credit default swaps, by remaining maturity"
Dataset: Semiannual OTC derivatives statistics(OTC_DERIV)
Unit: USD millions; Herfindahl indices in units
Data updated: 25/05/2016 16:02
"Frequency","International Financial Statistics block","Measure","Risk category","Instrument","Counterparty","Reporting country","Currency, maturity, equity region","Location","Period",30/06/1998,31/12/1998,30/06/1999,31/12/1999,30/06/2000,31/12/2000,30/06/2001,31/12/2001,30/06/2002,31/12/2002,30/06/2003,31/12/2003,30/06/2004,31/12/2004,30/06/2005,31/12/2005,30/06/2006,31/12/2006,30/06/2007,31/12/2007,30/06/2008,31/12/2008,30/06/2009,31/12/2009,30/06/2010,31/12/2010,30/06/2011,31/12/2011,30/06/2012,31/12/2012,30/06/2013,31/12/2013,30/06/2014,31/12/2014,30/06/2015,31/12/2015
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","N:Single-name CDS","S:Central counterparties","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:S:Y:N:S:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100518,127450,160299,135513,113531,67918,54561,47128,57035,49898,58932,50391
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","O:Multi-name CDS","W:Hedge funds","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:S:Y:O:W:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,127,4004,832,1716,1309,3052,1519,6255,5457,1571,353,10002,4435,11869,27711,44712,23003,64543,34396,74353,42038,38590,28252
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","A:All instruments","X:Residual financial institutions ( for reporting only)","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:A:Y:A:X:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,21149,23826,119180,211241,318792,431627,568284,490857,318093,298166,210370,92018,95885,104405,160662,168536,149821,94576,106053,111853,168908,84728,90944
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","A:All instruments","X:Residual financial institutions ( for reporting only)","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:S:Y:A:X:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,32612,75253,335525,554002,973397,1598697,1896273,1511251,757703,615337,528799,281334,204640,146898,137577,120705,91698,117684,74645,80787,79167,148596,61480
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","A:All instruments","S:Central counterparties","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:T:Y:A:S:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,90325,134550,273388,538182,471100,375621,372136,387113,381702,322436,279371,338762
"H:Half-yearly","N:Derivatives statistics","T:Notional amounts - sold","Y:Credit default swaps (CDS)","O:Multi-name CDS","V:SPVs, SPCs, or SPEs","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:T:Y:O:V:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,24888,12581,694,1076,1221,1220,12172,4633,4000,4587,2821,46481,14000,44271,54686,27971,64007,38553,48757,40175,35235,24613,24519
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","O:Multi-name CDS","S:Central counterparties","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:A:Y:O:S:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51397,71884,244475,638421,484195,291320,247889,339868,305986,210110,178664,204369
"H:Half-yearly","N:Derivatives statistics","S:Notional amounts - bought","Y:Credit default swaps (CDS)","A:All instruments","W:Hedge funds","A:All countries","8A:Maturity of one year or less","5J:All countries",H:N:S:Y:A:W:A:8A:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,3028,6691,4298,11278,12894,10171,6390,20502,14031,4696,3309,33935,20063,29302,51063,74507,61429,77803,48055,91246,60684,55158,41901
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","O:Multi-name CDS","T:Banks and security firms","A:All countries","8C:Maturity over 5 years","5J:All countries",H:N:A:Y:O:T:A:8C:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,81784,186068,315787,696889,895794,1713251,2328847,1827032,1396622,1030286,911640,510304,350947,439858,120271,79601,96039,35507,27104,37477,28387,40329,23842
"H:Half-yearly","N:Derivatives statistics","A:Outstanding - notional amounts","Y:Credit default swaps (CDS)","N:Single-name CDS","U:Insurance and financial guaranty firms","A:All countries","8B:Maturity over 1 year and up to 5 years","5J:All countries",H:N:A:Y:N:U:A:8B:5J,-,-,-,-,-,-,-,-,-,-,-,-,-,19450,24007,56585,55896,69096,62551,151501,96407,102114,93831,73006,58524,63906,77322,72374,62018,73001,51340,48301,66126,33800,32400,29715
